activation_id,game_id,promo_id,sponsor_id,sponsor_category,activation_type,activation_location,activation_goal,sponsor_attached_flag,synthetic_data_flag,notes
ACT_000001,TP_2023_001,PROMO_00002,SPONSOR_039,local_business,community,concourse,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000002,TP_2023_002,PROMO_00003,SPONSOR_085,healthcare,signage,field,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000003,TP_2023_006,PROMO_00007,SPONSOR_064,healthcare,digital,digital,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000004,TP_2023_007,PROMO_00008,SPONSOR_044,grocery,hospitality,suite_level,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000005,TP_2023_008,PROMO_00009,SPONSOR_074,healthcare,on_field_recognition,field,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000006,TP_2023_009,PROMO_00010,SPONSOR_026,restaurant,concourse_table,concourse,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000007,TP_2023_010,PROMO_00012,SPONSOR_037,restaurant,signage,concourse,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000008,TP_2023_015,PROMO_00018,SPONSOR_048,healthcare,concourse_table,concourse,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000009,TP_2023_016,PROMO_00019,SPONSOR_082,grocery,concourse_table,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000010,TP_2023_021,PROMO_00027,SPONSOR_036,healthcare,hospitality,ballpark,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000011,TP_2023_027,PROMO_00035,SPONSOR_038,banking,community,ballpark,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000012,TP_2023_027,PROMO_00036,SPONSOR_048,insurance,hospitality,ballpark,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000013,TP_2023_031,PROMO_00042,SPONSOR_010,healthcare,on_field_recognition,field,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000014,TP_2023_033,PROMO_00044,SPONSOR_005,auto,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
