source_id,source_name,source_url,source_type,season,used_for,notes
SRC_2023_GAME_TIMES,Trash Pandas Release 2023 Game Times,https://www.milb.com/rocket-city/news/2023-trash-pandas-game-times,official_team_page,2023,games_schedule,"Confirms 2023 home opener, game times context, 69 home games and 69 road games."
SRC_2023_WEEKLY_PROMOS,Trash Pandas Announce 2023 Weekly Promotions,https://www.milb.com/rocket-city/news/2023-trash-pandas-weekly-promotions,official_team_page,2023,promotions,Used for weekly promotion structure by day of week.
SRC_2023_PROMO_SCHEDULE,Trash Pandas Reveal 2023 Promotional Schedule,https://www.milb.com/rocket-city/news/trash-pandas-2023-promotional-schedule,official_team_page,2023,promotions,"Used for 2023 promotional schedule context, fireworks, giveaways, and theme nights."
SRC_2024_SCHEDULE_RELEASE,2024 Trash Pandas Schedule Release,https://www.milb.com/rocket-city/news/2024-trash-pandas-schedule-release,official_team_page,2024,games_schedule_promotions,Used for 2024 schedule and promotion context.
SRC_2025_SCHEDULE_RELEASE,Trash Pandas Announce 2025 Schedule,https://www.milb.com/rocket-city/news/2025-schedule-release-x8501,official_team_page,2025,games_schedule,"Used for 2025 home series blocks, season dates, and 69 home/69 road game structure."
SRC_2025_GAME_TIMES,Trash Pandas Announce Game Times,https://www.milb.com/news/2025-game-times,official_team_page,2025,games_schedule,Used for 2025 start time rules and 69 home game confirmation.
SRC_2025_WEEKLY_PROMOS,Trash Pandas Announce 2025 Weekly Promotions,https://www.milb.com/rocket-city/news/2025-weekly-promos,official_team_page,2025,promotions,Used for 2025 weekly promotion structure.
SRC_2023_SCHEDULE_RELEASE,Rocket City Trash Pandas Reveal 2023 Schedule,https://www.milb.com/rocket-city/news/trash-pandas-2023-schedule-release,official_team_page,2023,games_schedule,"Used for 2023 season schedule context, home opener, major home dates, final home series, and 69 home game structure."
SRC_2023_TBC_GAME_LOG,2023 Rocket City Trash Pandas Game Log,https://www.thebaseballcube.com/content/minor_game_log/2023~14089/,third_party_game_log,2023,game_log_attendance_validation,"Used as secondary validation for completed 2023 game dates, home/away status, Toyota Field games, and announced attendance."
SRC_2024_WEEKLY_PROMOS,Trash Pandas Launch Wedding Giveaway and 2024 Weekly Promotions,https://www.milb.com/rocket-city/news/wedding-and-weekly-promos,official_team_page,2024,promotions,Used for 2024 weekly promotion structure.
SRC_2024_FULL_PROMO_CALENDAR,Trash Pandas Announce Full 2024 Promotional Calendar,https://www.milb.com/news/2024-promo,official_team_page,2024,promotions,Used for 2024 promotion calendar context and special event counts.
SRC_2024_DOG_DAYS,Dog Days Return to Toyota Field for 2024 Season,https://www.milb.com/news/2024-dog-days,official_team_page,2024,promotions,Used for exact 2024 Dog Days dates.
SRC_2024_PREMIUM_GIVEAWAYS,"Bobbleheads, Giveaways, and Special Appearances Set for 2024 Season",https://www.milb.com/news/2024-premium-giveaways,official_team_page,2024,promotions,Used for select 2024 premium giveaway dates.
SRC_2024_TBC_GAME_LOG,2024 Rocket City Trash Pandas Game Log,https://www.thebaseballcube.com/content/minor_game_log/2024~14089/,third_party_game_log,2024,attendance,Used for public game-log attendance and season attendance validation.
SRC_2025_TBC_GAME_LOG,2025 Rocket City Trash Pandas Game Log,https://www.thebaseballcube.com/content/minor_game_log/2025~14089/,third_party_game_log,2025,attendance,Used for public game-log attendance and season attendance validation.
